County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Rabun County, GA","16,602",119,7.2,15,0.9,-60
"Racine County, WI","196,071",260,1.3,112,0.6,701
"Radford city, VA","17,658",144,8.2,37,2.1,65
"Rains County, TX","11,762",468,40.6,13,1.1,-27
"Raleigh County, WV","75,022","-1,012",-13.4,50,0.7,-276
"Ralls County, MO","10,224",-7,-0.7,0,0,3
"Ramsey County, MN","547,974","-2,339",-4.3,"3,859",7.1,"3,667"
"Ramsey County, ND","11,519",-21,-1.8,0,0,26
"Randall County, TX","134,442","1,179",8.8,189,1.4,620
"Randolph County, AL","22,670",230,10.2,-8,-0.4,-48
"Randolph County, AR","17,557",226,12.9,-13,-0.7,-62
"Randolph County, IL","32,423",-103,-3.2,1,0,-72
"Randolph County, IN","24,922",-160,-6.4,0,0,23
"Randolph County, MO","24,945",-54,-2.2,3,0.1,28
"Randolph County, NC","143,282",-68,-0.5,85,0.6,63
"Randolph County, WV","28,785",-92,-3.2,11,0.4,-94
"Rankin County, MS","152,080",244,1.6,121,0.8,646
"Rapides Parish, LA","131,648",-928,-7,156,1.2,324
"Ravalli County, MT","42,563",762,18,-12,-0.3,-63
"Ray County, MO","22,855",156,6.8,-2,-0.1,-19
"Red River County, TX","12,229",67,5.5,1,0.1,-54
"Red Willow County, NE","10,728",-55,-5.1,9,0.8,-8
"Redwood County, MN","15,272",14,0.9,6,0.4,18
"Reeves County, TX","15,281",-10,-0.7,119,7.8,103
"Reno County, KS","62,510",-497,-7.9,-7,-0.1,-26
"Rensselaer County, NY","159,722",-415,-2.6,372,2.3,33
"Renville County, MN","14,645",60,4.1,11,0.8,-4
"Rhea County, TN","32,691",259,8,38,1.2,1
"Rice County, MN","65,968",-63,-1,163,2.5,282
"Richland County, IL","15,901",29,1.8,9,0.6,6
"Richland County, MT","11,039",-429,-38.2,-17,-1.5,76
"Richland County, ND","16,351",-69,-4.2,5,0.3,77
"Richland County, OH","120,589",-613,-5.1,26,0.2,10
"Richland County, SC","411,592",-85,-0.2,785,1.9,"1,796"
"Richland County, WI","17,516",-2,-0.1,11,0.6,-11
"Richland Parish, LA","20,411",-48,-2.3,-2,-0.1,11
"Richmond city, VA","227,032",-7,0,662,2.9,"1,091"
"Richmond County, GA","201,800","-1,386",-6.9,253,1.3,934
"Richmond County, NC","44,798",-224,-5,7,0.2,-37
"Richmond County, NY","479,458",-753,-1.6,"1,486",3.1,"1,355"
"Riley County, KS","74,172","-1,483",-19.9,520,7,580
"Rio Arriba County, NM","39,159",-103,-2.6,31,0.8,75
"Rio Grande County, CO","11,301",-37,-3.3,-8,-0.7,9
"Ripley County, IN","28,442",12,0.4,31,1.1,-7
"Ripley County, MO","13,564",-187,-13.7,0,0,-29
"Riverside County, CA","2,423,266","19,586",8.1,"3,811",1.6,"13,377"
"Roane County, TN","53,036",348,6.6,7,0.1,-232
"Roane County, WV","14,043",-31,-2.2,2,0.1,-57
"Roanoke city, VA","99,837",-849,-8.5,520,5.2,428
"Roanoke County, VA","93,730",409,4.4,190,2,-223
"Roberts County, SD","10,278",-12,-1.2,4,0.4,65
"Robertson County, TN","70,177",708,10.2,63,0.9,226
"Robertson County, TX","17,203",277,16.3,21,1.2,46
"Robeson County, NC","132,606","-1,308",-9.8,87,0.7,311
"Rock County, WI","162,309",282,1.7,107,0.7,506
"Rock Island County, IL","144,808","-1,669",-11.5,553,3.8,450
"Rockbridge County, VA","22,659",301,13.4,28,1.2,-82
"Rockcastle County, KY","16,698",-104,-6.2,1,0.1,-71
"Rockdale County, GA","90,312",446,5,170,1.9,328
"Rockingham County, NC","90,949",-199,-2.2,40,0.4,-248
"Rockingham County, NH","306,363","1,917",6.3,215,0.7,323
"Rockingham County, VA","80,227",755,9.5,124,1.6,52
"Rockland County, NY","328,868","-2,403",-7.3,"1,554",4.7,"2,834"
"Rockwall County, TX","96,788","2,755",29,82,0.9,530
"Rogers County, OK","91,444",278,3,31,0.3,188
"Rolette County, ND","14,531",-208,-14.2,0,0,72
"Roosevelt County, MT","11,098",-186,-16.7,-2,-0.2,66
"Roosevelt County, NM","18,847",-403,-21.3,34,1.8,131
"Roscommon County, MI","23,895",232,9.7,12,0.5,-196
"Roseau County, MN","15,327",-295,-19.1,9,0.6,51
"Ross County, OH","77,313",379,4.9,28,0.4,-3
"Routt County, CO","25,220",356,14.3,68,2.7,114
"Rowan County, KY","24,517",50,2,4,0.2,62
"Rowan County, NC","140,644",999,7.1,72,0.5,47
"Runnels County, TX","10,266",23,2.2,5,0.5,-17
"Rush County, IN","16,645",15,0.9,1,0.1,-4
"Rusk County, TX","52,833",-105,-2,6,0.1,78
"Rusk County, WI","14,151",57,4,22,1.6,-18
"Russell County, AL","57,045","-1,309",-22.7,-3,-0.1,179
"Russell County, KY","17,775",1,0.1,17,1,-12
"Russell County, VA","27,048",-229,-8.4,11,0.4,-129
"Rutherford County, NC","66,551",405,6.1,18,0.3,-173
"Rutherford County, TN","317,157","6,494",20.8,696,2.2,"2,251"
"Rutland County, VT","59,087",28,0.5,21,0.4,-130
"Sabine County, TX","10,461",129,12.4,-4,-0.4,-50
"Sabine Parish, LA","24,018",-117,-4.9,17,0.7,28
"Sacramento County, CA","1,530,615","4,174",2.7,"5,654",3.7,"7,542"
"Sagadahoc County, ME","35,392",342,9.7,-6,-0.2,-77
"Saginaw County, MI","191,934",-618,-3.2,196,1,75
"Salem city, VA","25,862",212,8.2,50,1.9,57
"Salem County, NJ","62,792",-286,-4.5,46,0.7,-125
"Saline County, AR","119,323","1,403",11.8,62,0.5,279
"Saline County, IL","24,102",-158,-6.5,3,0.1,3
"Saline County, KS","54,734",-579,-10.5,29,0.5,214
"Saline County, MO","22,660",-222,-9.8,23,1,7
"Saline County, NE","14,441",-13,-0.9,101,7,58
"Salt Lake County, UT","1,135,649",-8,0,"3,326",2.9,"10,974"
"Saluda County, SC","20,452",35,1.7,81,4,42
"Sampson County, NC","63,430",-229,-3.6,185,2.9,112
"San Benito County, CA","60,310",564,9.4,13,0.2,395
"San Bernardino County, CA","2,157,404","1,664",0.8,"2,976",1.4,"15,706"
"San Diego County, CA","3,337,685","-15,784",-4.7,"15,445",4.6,"20,937"
"San Francisco County, CA","884,363","-2,689",-3.1,"8,244",9.4,"2,733"
"San Jacinto County, TX","28,270",531,19,-15,-0.5,-4
"San Joaquin County, CA","745,424","4,646",6.3,"1,902",2.6,"4,610"
"San Juan County, NM","126,926","-1,521",-11.9,14,0.1,657
"San Juan County, UT","15,356",-141,-9.2,11,0.7,156
"San Juan County, WA","16,715",452,27.4,23,1.4,-58
"San Luis Obispo County, CA","283,405",539,1.9,309,1.1,285
"San Mateo County, CA","771,410","-7,635",-9.9,"5,660",7.3,"3,840"
"San Miguel County, NM","27,748",-284,-10.2,73,2.6,3
"San Patricio County, TX","67,215",-555,-8.3,63,0.9,444
"Sanders County, MT","11,711",257,22.2,-2,-0.2,-12
"Sandoval County, NM","142,507","1,909",13.5,-19,-0.1,392
"Sandusky County, OH","59,195",-156,-2.6,3,0.1,70
"Sangamon County, IL","196,452","-1,522",-7.7,242,1.2,138
"Sanilac County, MI","41,269",-68,-1.6,8,0.2,-60
"Sanpete County, UT","30,035",477,16.1,31,1,222
"Santa Barbara County, CA","448,150","-2,292",-5.1,"1,677",3.7,"2,480"
"Santa Clara County, CA","1,938,153","-26,293",-13.6,"20,734",10.7,"12,071"
"Santa Cruz County, AZ","46,212",-272,-5.9,106,2.3,304
"Santa Cruz County, CA","275,897",-695,-2.5,521,1.9,885
"Santa Fe County, NM","148,750",550,3.7,148,1,114
"Santa Rosa County, FL","174,272","3,725",21.6,18,0.1,455
"Sarasota County, FL","419,119","8,160",19.6,"1,020",2.5,"-2,959"
"Saratoga County, NY","229,869","1,701",7.4,394,1.7,217
"Sarpy County, NE","181,439","1,390",7.7,218,1.2,"1,506"
"Sauk County, WI","63,981",189,3,51,0.8,141
"Saunders County, NE","21,057",-6,-0.3,12,0.6,56
"Sawyer County, WI","16,418",98,6,1,0.1,-29
"Schenectady County, NY","155,565",-208,-1.3,488,3.1,319
"Schoharie County, NY","31,420",12,0.4,9,0.3,-52
"Schuyler County, NY","18,000",-6,-0.3,11,0.6,-2
"Schuylkill County, PA","142,569",-334,-2.3,90,0.6,-517
"Scioto County, OH","75,929",-276,-3.6,37,0.5,-68
"Scotland County, NC","35,093",-193,-5.5,18,0.5,19
"Scott County, AR","10,445",73,7,0,0,12
"Scott County, IA","172,509",-511,-3,258,1.5,722
"Scott County, IN","23,870",151,6.3,20,0.8,-6
"Scott County, KY","54,873","1,054",19.5,34,0.6,364
"Scott County, MN","145,827",925,6.4,293,2,"1,177"
"Scott County, MO","38,541",-199,-5.2,0,0,18
"Scott County, MS","28,420",-165,-5.8,47,1.7,160
"Scott County, TN","21,989",103,4.7,-5,-0.2,0
"Scott County, VA","21,865",-54,-2.5,7,0.3,-115
"Scotts Bluff County, NE","36,363",-374,-10.3,63,1.7,121
"Screven County, GA","13,953",-81,-5.8,2,0.1,-1
"Scurry County, TX","17,050",-474,-27.5,13,0.8,80
"Sebastian County, AR","128,107",-96,-0.8,154,1.2,486
"Sedgwick County, KS","513,687","-2,852",-5.6,"1,096",2.1,"2,812"
"Seminole County, FL","462,659","3,185",6.9,"2,080",4.5,"1,102"
"Seminole County, OK","24,878",-291,-11.6,5,0.2,0
"Seneca County, NY","34,498",-342,-9.9,20,0.6,37
"Seneca County, OH","55,243",-180,-3.3,41,0.7,26
"Sequatchie County, TN","14,736",13,0.9,-2,-0.1,-13
"Sequoyah County, OK","41,252",-62,-1.5,32,0.8,-79
"Sevier County, AR","17,115",64,3.8,10,0.6,88
"Sevier County, TN","97,638",730,7.5,240,2.5,58
"Sevier County, UT","21,316",36,1.7,4,0.2,128
"Seward County, KS","22,159","-1,016",-45.2,122,5.4,291
"Seward County, NE","17,161",58,3.4,8,0.5,12
"Sharp County, AR","17,393",231,13.4,3,0.2,21
"Shasta County, CA","179,921",989,5.5,270,1.5,-102
"Shawano County, WI","40,935",-3,-0.1,12,0.3,-13
"Shawnee County, KS","178,187",-598,-3.4,214,1.2,422
"Sheboygan County, WI","115,344",-95,-0.8,140,1.2,177
"Shelby County, AL","213,605","1,507",7.1,203,1,829
"Shelby County, IA","11,628",-34,-2.9,11,0.9,-21
"Shelby County, IL","21,719",3,0.1,4,0.2,-13
"Shelby County, IN","44,395",115,2.6,10,0.2,47
"Shelby County, KY","47,421",403,8.6,143,3,280
"Shelby County, OH","48,759",-204,-4.2,87,1.8,151
"Shelby County, TN","936,961","-6,733",-7.2,"1,563",1.7,"4,996"
"Shelby County, TX","25,513",-429,-16.7,69,2.7,95
"Shenandoah County, VA","43,225",279,6.5,44,1,-24
"Sherburne County, MN","94,570",566,6,59,0.6,711
"Sheridan County, WY","30,210",142,4.7,33,1.1,-12
"Shiawassee County, MI","68,446",-105,-1.5,11,0.2,2
"Shoshone County, ID","12,542",142,11.4,6,0.5,-19
"Sibley County, MN","14,869",52,3.5,19,1.3,6
"Sierra County, NM","11,116",120,10.8,-1,-0.1,-137
"Silver Bow County, MT","34,602",87,2.5,68,2,-19
"Simpson County, KY","18,108",47,2.6,6,0.3,71
"Simpson County, MS","26,947",-33,-1.2,5,0.2,-3
"Sioux County, IA","34,860",-316,-9.1,64,1.8,218
"Siskiyou County, CA","43,853",416,9.5,23,0.5,-95
"Skagit County, WA","125,619","1,764",14.2,196,1.6,262
"Skamania County, WA","11,837",227,19.4,5,0.4,8
"Smith County, MS","16,078",97,6.1,0,0,10
"Smith County, TN","19,636",146,7.5,0,0,24
"Smith County, TX","227,727",920,4.1,410,1.8,"1,095"
"Smyth County, VA","30,656",-255,-8.3,19,0.6,-184
"Snohomish County, WA","801,633","7,534",9.5,"2,679",3.4,"4,452"
"Snyder County, PA","40,801",7,0.2,36,0.9,92
"Socorro County, NM","16,798",-176,-10.4,33,2,24
"Solano County, CA","445,458","2,336",5.3,"1,154",2.6,"1,649"
"Somerset County, MD","25,918",71,2.7,39,1.5,-25
"Somerset County, ME","50,626",15,0.3,23,0.5,-71
"Somerset County, NJ","335,432","-1,732",-5.2,"2,083",6.2,703
"Somerset County, PA","74,501",-349,-4.7,48,0.6,-266
"Sonoma County, CA","504,217","-1,126",-2.2,943,1.9,594
"Southampton County, VA","17,750",-183,-10.2,6,0.3,-92
"Spalding County, GA","65,380",776,11.9,14,0.2,35
"Spartanburg County, SC","306,854","4,936",16.2,201,0.7,636
"Spencer County, IN","20,394",-47,-2.3,1,0,-53
"Spencer County, KY","18,507",234,12.7,-2,-0.1,35
"Spokane County, WA","506,152","6,460",12.9,776,1.5,"1,459"
"Spotsylvania County, VA","133,033",806,6.1,185,1.4,641
"St. Bernard Parish, LA","46,202",44,1,86,1.9,259
"St. Charles County, MO","395,504","2,397",6.1,582,1.5,"1,742"
"St. Charles Parish, LA","52,749",-407,-7.7,58,1.1,232
"St. Clair County, AL","88,199",623,7.1,28,0.3,68
"St. Clair County, IL","262,479","-1,360",-5.2,50,0.2,668
"St. Clair County, MI","159,350",-93,-0.6,112,0.7,-169
"St. Croix County, WI","88,703",628,7.1,42,0.5,388
"St. Francis County, AR","25,930",-426,-16.3,19,0.7,31
"St. Francois County, MO","66,705",379,5.7,2,0,-68
"St. Helena Parish, LA","10,363",-94,-9,4,0.4,15
"St. James Parish, LA","21,367",-91,-4.3,0,0,27
"St. John the Baptist Parish, LA","43,441",-256,-5.9,88,2,127
"St. Johns County, FL","243,812","8,230",34.4,275,1.1,235
"St. Joseph County, IN","270,434",-872,-3.2,669,2.5,"1,029"
"St. Joseph County, MI","60,947",-137,-2.2,53,0.9,203
"St. Landry Parish, LA","83,497",-511,-6.1,-9,-0.1,314
"St. Lawrence County, NY","109,623",-615,-5.6,186,1.7,61
"St. Louis city, MO","308,626","-6,741",-21.7,951,3.1,"1,273"
"St. Louis County, MN","200,000",-120,-0.6,204,1,-92
"St. Louis County, MO","996,726","-5,188",-5.2,"2,207",2.2,"1,487"
"St. Lucie County, FL","313,506","6,591",21.3,"1,063",3.4,-252
"St. Martin Parish, LA","54,171",78,1.4,54,1,232
"St. Mary Parish, LA","50,973","-1,534",-29.7,119,2.3,208
"St. Mary's County, MD","112,667",96,0.9,143,1.3,598
"St. Tammany Parish, LA","256,327","2,556",10,298,1.2,712
"Stafford County, VA","146,649","1,977",13.6,293,2,912
"Stanislaus County, CA","547,899","1,664",3.1,"1,162",2.1,"3,753"
"Stanly County, NC","61,482",568,9.3,47,0.8,-13
"Stark County, ND","30,209",-984,-32.2,49,1.6,282
"Stark County, OH","372,542","-1,232",-3.3,171,0.5,86
"Starke County, IN","22,893",-71,-3.1,-2,-0.1,-25
"Starr County, TX","64,454",-567,-8.8,223,3.5,866
"Staunton city, VA","24,528",182,7.5,34,1.4,53
"Ste. Genevieve County, MO","17,843",-47,-2.6,21,1.2,-10
"Stearns County, MN","157,822",-341,-2.2,591,3.8,"1,004"
"Steele County, MN","36,887",35,1,14,0.4,138
"Stephens County, GA","25,890",158,6.1,4,0.2,4
"Stephens County, OK","43,332",-644,-14.7,25,0.6,-44
"Stephenson County, IL","45,054",-463,-10.2,32,0.7,-56
"Steuben County, IN","34,484",-13,-0.4,19,0.6,92
"Steuben County, NY","96,281",-639,-6.6,59,0.6,30
"Stevens County, WA","44,730",518,11.6,31,0.7,-31
"Stewart County, TN","13,355",214,16.1,-3,-0.2,-29
"Stoddard County, MO","29,369",-43,-1.5,-2,-0.1,-69
"Stokes County, NC","45,717",-15,-0.3,3,0.1,-159
"Stone County, AR","12,537",87,6.9,-9,-0.7,-39
"Stone County, MO","31,699",280,8.9,12,0.4,-127
"Stone County, MS","18,112",137,7.6,1,0.1,23
"Story County, IA","97,502",-604,-6.2,910,9.4,376
"Strafford County, NH","128,613",929,7.3,204,1.6,207
"Stutsman County, ND","21,087",72,3.4,7,0.3,-1
"Suffolk city, VA","90,237",420,4.7,91,1,430
"Suffolk County, MA","797,939","-8,411",-10.6,"10,973",13.8,"4,232"
"Suffolk County, NY","1,492,953","-9,000",-6,"4,867",3.3,"2,733"
"Sullivan County, IN","20,746",12,0.6,3,0.1,-5
"Sullivan County, NH","43,077",49,1.1,11,0.3,-18
"Sullivan County, NY","75,485",-173,-2.3,252,3.3,40
"Sullivan County, TN","157,158","1,238",7.9,-7,0,-402
"Summers County, WV","12,993",30,2.3,-7,-0.5,-34
"Summit County, CO","30,585",-42,-1.4,60,2,233
"Summit County, OH","541,228",-452,-0.8,"1,101",2,210
"Summit County, UT","41,106",358,8.8,81,2,275
"Sumner County, KS","23,159",-91,-3.9,14,0.6,33
"Sumner County, TN","183,545","3,803",21,98,0.5,524
"Sumter County, AL","12,687",-265,-20.7,36,2.8,-18
"Sumter County, FL","125,165","4,356",35.2,32,0.3,"-1,363"
"Sumter County, GA","29,847",-546,-18.1,8,0.3,31
"Sumter County, SC","106,847",-943,-8.8,114,1.1,391
"Sunflower County, MS","25,981",-408,-15.6,8,0.3,-9
"Surry County, NC","72,224",289,4,37,0.5,-144
"Susquehanna County, PA","40,985",-185,-4.5,6,0.1,-73
"Sussex County, DE","225,322","5,196",23.3,311,1.4,-313
"Sussex County, NJ","141,682",-655,-4.6,104,0.7,-56
"Sussex County, VA","11,373",-9,-0.8,5,0.4,-48
"Sutter County, CA","96,648",-198,-2.1,322,3.3,471
"Suwannee County, FL","44,190",438,10,16,0.4,-97
"Swain County, NC","14,294",121,8.5,1,0.1,-16
"Sweetwater County, WY","43,534","-1,038",-23.7,14,0.3,308
"Switzerland County, IN","10,696",22,2.1,20,1.9,8
"Talbot County, MD","37,103",7,0.2,49,1.3,-155
"Talladega County, AL","80,065",-148,-1.8,36,0.4,-206
"Tallahatchie County, MS","14,125",-247,-17.3,-3,-0.2,-11
"Tallapoosa County, AL","40,681",219,5.4,-2,0,-109
"Tama County, IA","17,058",-163,-9.5,4,0.2,38
"Taney County, MO","55,355",435,7.9,61,1.1,111
"Tangipahoa Parish, LA","132,497","1,100",8.4,113,0.9,659
"Taos County, NM","32,795",-72,-2.2,34,1,-20
"Tarrant County, TX","2,054,475","9,512",4.7,"7,562",3.7,"15,687"
"Tate County, MS","28,441",160,5.6,4,0.1,31
"Tattnall County, GA","25,334",3,0.1,11,0.4,41
"Taylor County, FL","21,833",-299,-13.6,20,0.9,-8
"Taylor County, KY","25,472",-35,-1.4,61,2.4,9
"Taylor County, TX","136,290",-608,-4.5,257,1.9,686
"Taylor County, WI","20,321",-10,-0.5,5,0.2,51
"Taylor County, WV","16,930",-5,-0.3,3,0.2,-14
"Tazewell County, IL","133,526",-556,-4.2,46,0.3,71
"Tazewell County, VA","41,095",-728,-17.5,-1,0,-226
"Tehama County, CA","63,926",285,4.5,0,0,200
"Telfair County, GA","15,989",-62,-3.9,55,3.4,-37
"Teller County, CO","24,646",582,23.9,-12,-0.5,30
"Terrebonne Parish, LA","112,086","-1,763",-15.7,151,1.3,572
"Terry County, TX","12,715",-204,-16,25,2,67
"Teton County, ID","11,381",151,13.4,19,1.7,123
"Teton County, WY","23,265",-104,-4.5,9,0.4,180
"Texas County, MO","25,735",-136,-5.3,0,0,20
"Texas County, OK","20,900",-538,-25.6,91,4.3,212
"Thomas County, GA","44,779",-395,-8.8,28,0.6,55
"Thurston County, WA","280,588","5,143",18.5,588,2.1,915
"Tift County, GA","40,598",-244,-6,23,0.6,170
"Tillamook County, OR","26,690",497,18.8,26,1,-44
"Tioga County, NY","48,578",-198,-4.1,-16,-0.3,15
"Tioga County, PA","40,793",-401,-9.8,6,0.1,-38
"Tippah County, MS","21,969",-98,-4.5,-3,-0.1,25
"Tippecanoe County, IN","190,587","-1,177",-6.2,"1,823",9.6,"1,256"
"Tipton County, IN","15,128",-11,-0.7,3,0.2,-17
"Tipton County, TN","61,366",47,0.8,36,0.6,110
"Tishomingo County, MS","19,542",146,7.5,10,0.5,-74
"Titus County, TX","32,904",-53,-1.6,95,2.9,248
"Todd County, KY","12,243",-204,-16.6,3,0.2,82
"Todd County, MN","24,515",-8,-0.3,3,0.1,117
"Todd County, SD","10,065",-176,-17.5,-2,-0.2,144
"Tolland County, CT","151,461",-257,-1.7,459,3,115
"Tom Green County, TX","118,019",-379,-3.2,26,0.2,584
"Tompkins County, NY","104,802","-1,098",-10.5,"1,148",11,185
"Tooele County, UT","67,456","2,160",32.7,33,0.5,659
"Toombs County, GA","26,999",-279,-10.3,13,0.5,71
"Torrance County, NM","15,506",15,1,53,3.4,14
"Towns County, GA","11,506",239,20.9,2,0.2,-87
"Transylvania County, NC","33,956",607,18,18,0.5,-144
"Travis County, TX","1,226,698","4,870",4,"6,623",5.4,"10,571"
"Trempealeau County, WI","29,472",-342,-11.6,42,1.4,146
"Trigg County, KY","14,444",135,9.4,4,0.3,-8
"Trinity County, CA","12,709",-68,-5.3,2,0.2,-65
"Trinity County, TX","14,667",224,15.4,-4,-0.3,-65
"Troup County, GA","69,786",-227,-3.3,63,0.9,175
"Trousdale County, TN","10,083",109,10.9,2,0.2,23
"Trumbull County, OH","200,380",-923,-4.6,5,0,-400
"Tulare County, CA","464,493","-1,111",-2.4,466,1,"4,309"
"Tulsa County, OK","646,266","-4,151",-6.4,"1,811",2.8,"3,569"
"Tunica County, MS","10,024",-229,-22.7,7,0.7,90
"Tuolumne County, CA","54,248",455,8.4,75,1.4,-66
"Tuscaloosa County, AL","207,811",445,2.1,355,1.7,738
"Tuscarawas County, OH","92,297",-382,-4.1,56,0.6,139
"Tuscola County, MI","52,764",-383,-7.2,6,0.1,-95
"Twin Falls County, ID","85,124",896,10.6,229,2.7,464
"Tyler County, TX","21,539",122,5.7,9,0.4,-24
"Uinta County, WY","20,495",-372,-18.1,-1,0,155
"Uintah County, UT","35,150","-1,402",-39.3,18,0.5,336
"Ulster County, NY","179,417",-397,-2.2,453,2.5,-180
"Umatilla County, OR","76,985",0,0,5,0.1,336
"Unicoi County, TN","17,759",205,11.6,1,0.1,-111
"Union County, AR","39,449",-442,-11.1,-6,-0.2,30
"Union County, FL","15,517",299,19.4,15,1,-66
"Union County, GA","23,459",892,38.7,4,0.2,-100
"Union County, IA","12,450",60,4.8,16,1.3,-14
"Union County, IL","17,000",-82,-4.8,2,0.1,-34
"Union County, KY","14,668",-115,-7.8,-3,-0.2,-7
"Union County, MS","28,556",82,2.9,47,1.7,102
"Union County, NC","231,366","3,664",16,169,0.7,998
"Union County, NJ","563,892","-4,463",-7.9,"4,518",8,"2,720"
"Union County, OH","56,741",871,15.5,81,1.4,334
"Union County, OR","26,222",126,4.8,16,0.6,40
"Union County, PA","44,595",-897,-19.9,55,1.2,-13
"Union County, SC","27,537",-87,-3.2,-1,0,-58
"Union County, SD","15,029",-13,-0.9,-6,-0.4,56
"Union County, TN","19,442",185,9.6,6,0.3,18
"Union Parish, LA","22,571",-111,-4.9,24,1.1,51
"Upshur County, TX","41,281",365,8.9,26,0.6,29
"Upshur County, WV","24,465",-103,-4.2,-5,-0.2,-36
"Upson County, GA","26,135",-12,-0.5,-4,-0.2,-60
"Utah County, UT","606,425","5,058",8.5,720,1.2,"10,148"
"Uvalde County, TX","27,132",-156,-5.8,20,0.7,164
"Val Verde County, TX","49,205",-398,-8.1,125,2.5,525
"Valencia County, NM","75,940",104,1.4,49,0.6,153
"Valley County, ID","10,687",260,24.6,-8,-0.8,17
"Van Buren County, AR","16,506",-21,-1.3,0,0,-93
"Van Buren County, MI","75,353",-7,-0.1,70,0.9,92
"Van Wert County, OH","28,217",31,1.1,-1,0,22
"Van Zandt County, TX","55,182",755,13.8,67,1.2,-16
"Vance County, NC","44,211",-223,-5,11,0.2,-1
"Vanderburgh County, IN","181,616",-617,-3.4,162,0.9,307
"Venango County, PA","51,762",-545,-10.5,0,0,-162
"Ventura County, CA","854,223","-2,747",-3.2,"2,008",2.4,"3,886"
"Vermilion County, IL","77,909",-805,-10.3,33,0.4,122
"Vermilion Parish, LA","60,136",-348,-5.8,49,0.8,221
"Vermillion County, IN","15,505",-82,-5.3,10,0.6,-34
"Vernon County, MO","20,437",-157,-7.7,4,0.2,37
"Vernon County, WI","30,759",122,4,4,0.1,93
"Vernon Parish, LA","50,726","-1,558",-30.4,66,1.3,599
"Victoria County, TX","92,084",-859,-9.3,76,0.8,485
"Vigo County, IN","107,516",-404,-3.8,139,1.3,113
"Vilas County, WI","21,683",335,15.5,15,0.7,-130
"Vinton County, OH","13,092",75,5.7,0,0,-3
"Virginia Beach city, VA","450,435","-4,706",-10.4,"1,077",2.4,"2,655"
"Volusia County, FL","538,692","10,000",18.7,"1,498",2.8,"-1,883"
"Wabash County, IL","11,489",-55,-4.8,26,2.3,8
"Wabash County, IN","31,443",-31,-1,8,0.3,-84
"Wabasha County, MN","21,608",87,4,4,0.2,71
"Wadena County, MN","13,669",105,7.7,3,0.2,-1
"Wagoner County, OK","78,657",970,12.4,32,0.4,146
"Wake County, NC","1,072,203","11,442",10.8,"4,189",3.9,"7,386"
"Wakulla County, FL","32,120",142,4.4,11,0.3,83
"Waldo County, ME","39,832",409,10.3,60,1.5,-60
"Walker County, AL","64,058",-329,-5.1,25,0.4,-197
"Walker County, GA","68,939",680,9.9,-22,-0.3,-43
"Walker County, TX","72,245",301,4.2,159,2.2,83
"Walla Walla County, WA","60,567",480,8,35,0.6,58
"Waller County, TX","51,307",828,16.3,70,1.4,348
"Walsh County, ND","10,855",-52,-4.8,28,2.6,17
"Walthall County, MS","14,499",-55,-3.8,-4,-0.3,-12
"Walton County, FL","68,376","2,695",40.3,46,0.7,175
"Walton County, GA","91,600","1,275",14,77,0.8,338
"Walworth County, WI","103,082",152,1.5,52,0.5,108
"Wapello County, IA","35,044",-436,-12.4,135,3.8,75
"Ward County, ND","68,946","-2,080",-29.9,181,2.6,684
"Ward County, TX","11,472",-228,-19.8,20,1.7,90
"Ware County, GA","35,871",-17,-0.5,36,1,78
"Warren County, IA","50,163",668,13.4,11,0.2,140
"Warren County, IL","17,167",-235,-13.6,41,2.4,55
"Warren County, KY","128,845","1,088",8.5,690,5.4,725
"Warren County, MO","34,373",435,12.8,-1,0,124
"Warren County, MS","46,768",-362,-7.7,26,0.6,62
"Warren County, NC","19,883",81,4.1,-6,-0.3,-80
"Warren County, NJ","106,798",-357,-3.3,290,2.7,21
"Warren County, NY","64,532",78,1.2,49,0.8,-110
"Warren County, OH","228,882","1,332",5.9,499,2.2,591
"Warren County, PA","39,659",-208,-5.2,9,0.2,-139
"Warren County, TN","40,651",226,5.6,48,1.2,-19
"Warren County, VA","39,563",396,10.1,4,0.1,95
"Warrick County, IN","62,530",342,5.5,77,1.2,67
"Wasatch County, UT","32,106","1,151",36.7,76,2.4,305
"Wasco County, OR","26,437",498,19,27,1,36
"Waseca County, MN","18,787",-116,-6.2,9,0.5,65
"Washburn County, WI","15,758",204,13,8,0.5,-65
"Washington County, AL","16,531",-101,-6.1,18,1.1,-31
"Washington County, AR","231,996","2,078",9,595,2.6,"1,709"
"Washington County, FL","24,567",180,7.3,5,0.2,-69
"Washington County, GA","20,313",-8,-0.4,1,0,-21
"Washington County, IA","22,281",93,4.2,6,0.3,74
"Washington County, ID","10,121",30,3,2,0.2,26
"Washington County, IL","14,030",-228,-16.1,1,0.1,45
"Washington County, IN","27,827",51,1.8,-3,-0.1,33
"Washington County, KY","12,126",-34,-2.8,29,2.4,1
"Washington County, MD","150,578",319,2.1,282,1.9,177
"Washington County, ME","31,593",105,3.3,26,0.8,-101
"Washington County, MN","256,348","1,761",6.9,427,1.7,"1,206"
"Washington County, MO","25,022",176,7.1,0,0,14
"Washington County, MS","46,221","-1,045",-22.4,30,0.6,41
"Washington County, NC","12,012",-87,-7.2,6,0.5,-39
"Washington County, NE","20,721",86,4.2,16,0.8,53
